COMPANY_ADDRESS,COMPANY_NAME,GOODS_NAME,GOODS_PRICE,GOODS_URL,IP,LAST_CHECK_TIME,PORT,POSITION,SHOP_NAME,SHOP_URL,SPEED,TYPE
上海,,Toshiba/东芝 HDTC820H,539.00,https://detail.tmall.com/item.htm?id=20351803834&skuId=3916397510844&standard=1&user_id=874887241&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝祝庆专卖店,//rate.taobao.com/user-rate-UOmc0OmguvCQY.htm,,
"浙江,  杭州",,WD/西部数据 WDBU6Y0020,519.90,https://detail.tmall.com/item.htm?id=25356196399&skuId=3804175157430&standard=1&user_id=695023374&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,酷鱼数码专营,//rate.taobao.com/user-rate-UMCkbvmIGvGc0.htm,,
,上海,Toshiba/东芝 HDTH310E,369.00,https://detail.tmall.com/item.htm?id=550679604048&skuId=3950518295650&standard=1&user_id=3295616803&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,toshiba东芝存储旗舰店,//rate.taobao.com/user-rate-UvGISMFxYMCgWvWTT.htm,,
"江苏省,  徐州市",,逐天X5移动硬盘USB3.0高速1t 500g轻薄320g移动盘1tb移动硬可加密,99.00,https://detail.tmall.com/item.htm?id=562830632869&skuId=3542491737156&user_id=2362132778&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,逐天数码旗舰店,//rate.taobao.com/user-rate-UvCvLvCHGvCcuONTT.htm,,
上海,,WD/西部数据 WDS120G1G0A,165.00,https://detail.tmall.com/item.htm?id=541221112652&skuId=3770833343471&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
"广东省,  深圳市",,WD/西部数据 WDBYFT0040,859.00,https://detail.tmall.com/item.htm?id=536344697361&skuId=3421408557705&standard=1&user_id=2037117585&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,西数官方旗舰店,//rate.taobao.com/user-rate-UvCNGMGHYMG84MQTT.htm,,
"广东省,  深圳市",,WD/西部数据 WDBYFT0020,539.00,https://detail.tmall.com/item.htm?id=45716529622&skuId=3657827257584&standard=1&user_id=2037117585&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,西数官方旗舰店,//rate.taobao.com/user-rate-UvCNGMGHYMG84MQTT.htm,,
上海,,Seagate/希捷 STDR4000,859.00,https://detail.tmall.com/item.htm?id=521322201495&skuId=3282961913302&standard=1&user_id=680956838&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,seagate旗舰店,//rate.taobao.com/user-rate-UMCgWOF8LOmv4.htm,,
,,Samsung/三星 MZ-76E500,649.00,https://detail.tmall.com/item.htm?id=564857606526&skuId=3572946977984&standard=1&user_id=2972174697&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,三星刚健兴业专卖店,//rate.taobao.com/user-rate-UvCkuvCHuMmxSMWTT.htm,,
上海,,Intel/英特尔 545S 256G,305.00,https://detail.tmall.com/item.htm?id=559258759150&skuId=3647414346979&standard=1&user_id=744506827&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,汉东数码专营店,//rate.taobao.com/user-rate-UMGQ0MFNLOmIu.htm,,
,,Seagate/希捷 ST2000DM008,379.00,https://detail.tmall.com/item.htm?id=569647996683&skuId=3916326182535&standard=1&user_id=2864394693&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,希捷煜强专卖店,//rate.taobao.com/user-rate-UvCgLMmvSMmxSvWTT.htm,,
"广东,  深圳",,ShineDisk M667 120G,139.00,https://detail.tmall.com/item.htm?id=39235505054&skuId=3246644221942&standard=1&user_id=2067861716&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,shinedisk旗舰店,//rate.taobao.com/user-rate-UvCNLMGgLvFcYMgTT.htm,,
